school,division,latitude_school,longitude_school,season,wins_rolling_2year,games_played_rolling_2year,post_season_wins_rolling_2year,point_diff_rolling_2year,win_pct_rolling_2year
Arkansas,,36.0680662,-94.1789534,2011.0,,,,,0.8461538461538461
Arkansas,,36.0680662,-94.1789534,2012.0,21.0,26.0,1.0,359.0,0.3333333333333333
Arkansas,,36.0680662,-94.1789534,2013.0,15.0,25.0,1.0,106.0,0.25
Arkansas,,36.0680662,-94.1789534,2014.0,7.0,24.0,0.0,-204.0,0.5384615384615384
Arkansas,,36.0680662,-94.1789534,2015.0,10.0,25.0,1.0,44.0,0.6153846153846154
Arkansas,,36.0680662,-94.1789534,2016.0,15.0,26.0,2.0,276.0,0.5384615384615384
Arkansas,,36.0680662,-94.1789534,2017.0,15.0,26.0,1.0,101.0,0.3333333333333333
Arkansas,,36.0680662,-94.1789534,2018.0,11.0,25.0,0.0,-99.0,0.16666666666666666
Arkansas,,36.0680662,-94.1789534,2019.0,6.0,24.0,0.0,-246.0,0.16666666666666666
Arkansas,,36.0680662,-94.1789534,2020.0,4.0,24.0,0.0,-342.0,0.3
Arkansas,,36.0680662,-94.1789534,2021.0,5.0,22.0,0.0,-277.0,0.6923076923076923
Arkansas,,36.0680662,-94.1789534,2022.0,12.0,23.0,1.0,12.0,0.5384615384615384
Arkansas,,36.0680662,-94.1789534,2023.0,16.0,26.0,2.0,129.0,0.3333333333333333
Arkansas,,36.0680662,-94.1789534,2024.0,11.0,25.0,1.0,9.0,0.08333333333333333
Arkansas State,West,35.8488977,-90.6677436,2010.0,,,,,0.3333333333333333
Arkansas State,West,35.8488977,-90.6677436,2011.0,,,,,0.7692307692307693
Arkansas State,West,35.8488977,-90.6677436,2012.0,14.0,25.0,0.0,143.0,0.7692307692307693
Arkansas State,West,35.8488977,-90.6677436,2013.0,20.0,26.0,1.0,288.0,0.6153846153846154
Arkansas State,West,35.8488977,-90.6677436,2014.0,18.0,26.0,2.0,175.0,0.5384615384615384
Arkansas State,West,35.8488977,-90.6677436,2015.0,15.0,26.0,1.0,120.0,0.6923076923076923
Arkansas State,West,35.8488977,-90.6677436,2016.0,16.0,26.0,0.0,208.0,0.6153846153846154
Arkansas State,West,35.8488977,-90.6677436,2017.0,17.0,26.0,1.0,203.0,0.5833333333333334
Arkansas State,West,35.8488977,-90.6677436,2018.0,15.0,25.0,1.0,221.0,0.6153846153846154
Arkansas State,West,35.8488977,-90.6677436,2019.0,15.0,25.0,0.0,206.0,0.6153846153846154
Arkansas State,West,35.8488977,-90.6677436,2020.0,16.0,26.0,1.0,55.0,0.36363636363636365
Arkansas State,West,35.8488977,-90.6677436,2021.0,12.0,24.0,1.0,-53.0,0.16666666666666666
Arkansas State,West,35.8488977,-90.6677436,2022.0,6.0,23.0,0.0,-207.0,0.25
Arkansas State,West,35.8488977,-90.6677436,2023.0,5.0,24.0,0.0,-237.0,0.46153846153846156
Arkansas State,West,35.8488977,-90.6677436,2024.0,9.0,25.0,0.0,-120.0,0.16666666666666666
Army,,41.3874924,-73.9640891,2010.0,,,,,0.5384615384615384
Army,,41.3874924,-73.9640891,2011.0,,,,,0.25
Army,,41.3874924,-73.9640891,2012.0,10.0,25.0,1.0,-11.0,0.16666666666666666
Army,,41.3874924,-73.9640891,2013.0,5.0,24.0,0.0,-174.0,0.25
Army,,41.3874924,-73.9640891,2014.0,5.0,24.0,0.0,-219.0,0.3333333333333333
Army,,41.3874924,-73.9640891,2015.0,7.0,24.0,0.0,-182.0,0.16666666666666666
Army,,41.3874924,-73.9640891,2016.0,6.0,24.0,0.0,-165.0,0.6153846153846154
Army,,41.3874924,-73.9640891,2017.0,10.0,25.0,1.0,62.0,0.7692307692307693
Army,,41.3874924,-73.9640891,2018.0,18.0,26.0,2.0,244.0,0.8461538461538461
Army,,41.3874924,-73.9640891,2019.0,21.0,26.0,2.0,309.0,0.38461538461538464
Army,,41.3874924,-73.9640891,2020.0,16.0,26.0,1.0,267.0,0.75
Army,,41.3874924,-73.9640891,2021.0,14.0,25.0,0.0,214.0,0.6923076923076923
Army,,41.3874924,-73.9640891,2022.0,18.0,25.0,1.0,280.0,0.5
Army,,41.3874924,-73.9640891,2023.0,15.0,25.0,1.0,210.0,0.5
Army,,41.3874924,-73.9640891,2024.0,12.0,24.0,0.0,66.0,0.16666666666666666
Auburn,,32.6025532,-85.4897479,2010.0,,,,,1.0
Auburn,,32.6025532,-85.4897479,2011.0,,,,,0.6153846153846154
Auburn,,32.6025532,-85.4897479,2012.0,22.0,27.0,2.0,198.0,0.25
Auburn,,32.6025532,-85.4897479,2013.0,11.0,25.0,1.0,-158.0,0.8571428571428571
Auburn,,32.6025532,-85.4897479,2014.0,15.0,26.0,0.0,91.0,0.6153846153846154
Auburn,,32.6025532,-85.4897479,2015.0,20.0,27.0,0.0,321.0,0.5384615384615384
Auburn,,32.6025532,-85.4897479,2016.0,15.0,26.0,1.0,133.0,0.6153846153846154
Auburn,,32.6025532,-85.4897479,2017.0,15.0,26.0,1.0,203.0,0.7142857142857143
Auburn,,32.6025532,-85.4897479,2018.0,18.0,27.0,0.0,399.0,0.6153846153846154
Auburn,,32.6025532,-85.4897479,2019.0,18.0,27.0,1.0,368.0,0.6923076923076923
Auburn,,32.6025532,-85.4897479,2020.0,17.0,26.0,1.0,331.0,0.5454545454545454
Auburn,,32.6025532,-85.4897479,2021.0,15.0,24.0,0.0,182.0,0.46153846153846156
Auburn,,32.6025532,-85.4897479,2022.0,12.0,24.0,0.0,89.0,0.4166666666666667
Auburn,,32.6025532,-85.4897479,2023.0,11.0,25.0,0.0,28.0,0.46153846153846156
Auburn,,32.6025532,-85.4897479,2024.0,11.0,25.0,0.0,-11.0,0.08333333333333333
Ball State,,40.2159422,-85.4161148,2010.0,,,,,0.3333333333333333
Ball State,,40.2159422,-85.4161148,2011.0,,,,,0.5
Ball State,,40.2159422,-85.4161148,2012.0,10.0,24.0,0.0,-213.0,0.6923076923076923
Ball State,,40.2159422,-85.4161148,2013.0,15.0,25.0,0.0,-91.0,0.7692307692307693
Ball State,,40.2159422,-85.4161148,2014.0,19.0,26.0,0.0,201.0,0.4166666666666667
Ball State,,40.2159422,-85.4161148,2015.0,15.0,25.0,0.0,186.0,0.25
Ball State,,40.2159422,-85.4161148,2016.0,8.0,24.0,0.0,-147.0,0.3333333333333333
Ball State,,40.2159422,-85.4161148,2017.0,7.0,24.0,0.0,-190.0,0.16666666666666666
Ball State,,40.2159422,-85.4161148,2018.0,6.0,24.0,0.0,-310.0,0.3333333333333333
Ball State,,40.2159422,-85.4161148,2019.0,6.0,24.0,0.0,-372.0,0.4166666666666667
Ball State,,40.2159422,-85.4161148,2020.0,9.0,24.0,0.0,-58.0,0.875
Ball State,,40.2159422,-85.4161148,2021.0,12.0,20.0,1.0,109.0,0.46153846153846156
Ball State,,40.2159422,-85.4161148,2022.0,13.0,21.0,1.0,12.0,0.4166666666666667
Ball State,,40.2159422,-85.4161148,2023.0,11.0,25.0,0.0,-100.0,0.3333333333333333
Ball State,,40.2159422,-85.4161148,2024.0,9.0,24.0,0.0,-118.0,0.08333333333333333
Baylor,,31.5582015,-97.1156702,2010.0,,,,,0.5384615384615384
Baylor,,31.5582015,-97.1156702,2011.0,,,,,0.7692307692307693
Baylor,,31.5582015,-97.1156702,2012.0,17.0,26.0,1.0,114.0,0.6153846153846154
Baylor,,31.5582015,-97.1156702,2013.0,18.0,26.0,2.0,199.0,0.8461538461538461
Baylor,,31.5582015,-97.1156702,2014.0,19.0,26.0,1.0,469.0,0.8461538461538461
Baylor,,31.5582015,-97.1156702,2015.0,22.0,26.0,0.0,670.0,0.7692307692307693
Baylor,,31.5582015,-97.1156702,2016.0,21.0,26.0,1.0,552.0,0.5384615384615384
Baylor,,31.5582015,-97.1156702,2017.0,17.0,26.0,2.0,330.0,0.08333333333333333
Baylor,,31.5582015,-97.1156702,2018.0,8.0,25.0,1.0,-66.0,0.5384615384615384
Baylor,,31.5582015,-97.1156702,2019.0,8.0,25.0,1.0,-167.0,0.7857142857142857
Baylor,,31.5582015,-97.1156702,2020.0,18.0,27.0,1.0,166.0,0.2222222222222222
Baylor,,31.5582015,-97.1156702,2021.0,13.0,23.0,0.0,141.0,0.8571428571428571
Baylor,,31.5582015,-97.1156702,2022.0,14.0,23.0,1.0,134.0,0.46153846153846156
Baylor,,31.5582015,-97.1156702,2023.0,18.0,27.0,1.0,256.0,0.25
Baylor,,31.5582015,-97.1156702,2024.0,9.0,25.0,0.0,-54.0,0.08333333333333333
Boise State,,43.6028839,-116.1958882,2010.0,,,,,0.9230769230769231
Boise State,,43.6028839,-116.1958882,2011.0,,,,,0.9230769230769231
Boise State,,43.6028839,-116.1958882,2012.0,24.0,26.0,2.0,752.0,0.8461538461538461
Boise State,,43.6028839,-116.1958882,2013.0,23.0,26.0,2.0,520.0,0.6153846153846154
Boise State,,43.6028839,-116.1958882,2014.0,19.0,26.0,1.0,353.0,0.8571428571428571
Boise State,,43.6028839,-116.1958882,2015.0,20.0,27.0,1.0,346.0,0.6923076923076923
Boise State,,43.6028839,-116.1958882,2016.0,21.0,27.0,2.0,426.0,0.7692307692307693
Boise State,,43.6028839,-116.1958882,2017.0,19.0,26.0,1.0,381.0,0.7857142857142857
Boise State,,43.6028839,-116.1958882,2018.0,21.0,27.0,1.0,271.0,0.7692307692307693
Boise State,,43.6028839,-116.1958882,2019.0,21.0,27.0,1.0,308.0,0.8571428571428571
Boise State,,43.6028839,-116.1958882,2020.0,22.0,27.0,0.0,353.0,0.7142857142857143
Boise State,,43.6028839,-116.1958882,2021.0,17.0,21.0,0.0,227.0,0.5833333333333334
Boise State,,43.6028839,-116.1958882,2022.0,12.0,19.0,0.0,169.0,0.7142857142857143
Boise State,,43.6028839,-116.1958882,2023.0,17.0,26.0,1.0,262.0,0.5714285714285714
Boise State,,43.6028839,-116.1958882,2024.0,18.0,28.0,1.0,232.0,0.08333333333333333
Boston College,,42.335104,-71.1664413,2010.0,,,,,0.5384615384615384
Boston College,,42.335104,-71.1664413,2011.0,,,,,0.3333333333333333
Boston College,,42.335104,-71.1664413,2012.0,11.0,25.0,0.0,-78.0,0.16666666666666666
Boston College,,42.335104,-71.1664413,2013.0,6.0,24.0,0.0,-182.0,0.5384615384615384
Boston College,,42.335104,-71.1664413,2014.0,9.0,25.0,0.0,-134.0,0.5384615384615384
Boston College,,42.335104,-71.1664413,2015.0,14.0,26.0,0.0,48.0,0.25
Boston College,,42.335104,-71.1664413,2016.0,10.0,25.0,0.0,87.0,0.5384615384615384
Boston College,,42.335104,-71.1664413,2017.0,10.0,25.0,1.0,-37.0,0.5384615384615384
Boston College,,42.335104,-71.1664413,2018.0,14.0,26.0,1.0,-23.0,0.5833333333333334
Boston College,,42.335104,-71.1664413,2019.0,14.0,25.0,0.0,113.0,0.46153846153846156
Boston College,,42.335104,-71.1664413,2020.0,13.0,25.0,0.0,35.0,0.5454545454545454
Boston College,,42.335104,-71.1664413,2021.0,12.0,24.0,0.0,-47.0,0.5
Boston College,,42.335104,-71.1664413,2022.0,12.0,23.0,0.0,24.0,0.25
Boston College,,42.335104,-71.1664413,2023.0,9.0,24.0,0.0,-121.0,0.5384615384615384
Boston College,,42.335104,-71.1664413,2024.0,10.0,25.0,1.0,-196.0,0.16666666666666666
Bowling Green,,41.3780114,-83.6225,2010.0,,,,,0.16666666666666666
Bowling Green,,41.3780114,-83.6225,2011.0,,,,,0.4166666666666667
Bowling Green,,41.3780114,-83.6225,2012.0,7.0,24.0,0.0,-176.0,0.6153846153846154
Bowling Green,,41.3780114,-83.6225,2013.0,13.0,25.0,0.0,52.0,0.7142857142857143
Bowling Green,,41.3780114,-83.6225,2014.0,18.0,27.0,0.0,345.0,0.5714285714285714
