id,school,conference,division,color,logos,latitude_school,longitude_school
204,Oregon State,Pac-12,,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,44.5594559,-123.2814341
213,Penn State,Big Ten,,#00265D,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,40.8121958,-77.8561023
221,Pittsburgh,ACC,,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,40.4467648,-80.0157603
2509,Purdue,Big Ten,,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,40.4352253,-86.9186843
242,Rice,American Athletic,,#d1d5d8,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,29.7163297,-95.4093261
164,Rutgers,Big Ten,,#d21034,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,40.5462553,-74.4660408
2534,Sam Houston State,Conference USA,,#fe5000,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,30.713926,-95.5419802
21,San Diego State,Mountain West,,#c41230,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,32.784444,-117.122833
23,San José State,Mountain West,,#005893,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,37.3196675,-121.8682962
2567,SMU,ACC,,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,32.8377223,-96.7827859
6,South Alabama,Sun Belt,West,#003E7E,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,30.6943566,-88.0430541
2579,South Carolina,SEC,,#73000a,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,33.9730239,-81.0191726
2572,Southern Mississippi,Sun Belt,West,#FFAA3C,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,31.3289321,-89.3318118
58,South Florida,American Athletic,,#004A36,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,27.9758691,-82.5033344
24,Stanford,ACC,,#8c1515,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,37.4345556,-122.1611271
183,Syracuse,ACC,,#ff6500,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,43.0362269,-76.1363161
2628,TCU,Big 12,,#4d1979,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,32.7096604,-97.3680835
218,Temple,American Athletic,,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,39.9007995,-75.1675414
2633,Tennessee,SEC,,#ff8200,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,35.9550131,-83.9250128
251,Texas,SEC,,#c15d26,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,30.2836813,-97.7325345
245,Texas A&M,SEC,,#500000,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,30.6098891,-96.3403828
326,Texas State,Sun Belt,West,#4e1719,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,29.8910008,-97.9255735
2641,Texas Tech,Big 12,,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,33.5910518,-101.8728824
2649,Toledo,Mid-American,,#0a2240,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,41.6574777,-83.6135652
2653,Troy,Sun Belt,West,#AE0210,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,31.7995565,-85.9518328
2655,Tulane,American Athletic,,#006547,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,29.944616,-90.116692
202,Tulsa,American Athletic,,#003595,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,36.1489175,-95.9437853
5,UAB,American Athletic,,#003b28,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,33.5206824,-86.8024326
2116,UCF,Big 12,,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,28.6079765,-81.1927233
26,UCLA,Big Ten,,#2774ae,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,34.1613284,-118.1676462
113,UMass,FBS Independents,,#971B2F,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,42.3773244,-72.5360595
2439,UNLV,Mountain West,,#b10202,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,36.1672559,-115.1485163
30,USC,Big Ten,,#9e2237,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,34.014167,-118.287778
254,Utah,Big 12,,#ea002a,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,40.7599724,-111.8488255
328,Utah State,Mountain West,,#00263a,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,41.7517394,-111.8116007
2638,UTEP,Conference USA,,#ff8200,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,31.7733353,-106.507957
2636,UT San Antonio,American Athletic,,#002A5C,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,29.4169834,-98.4788143
238,Vanderbilt,SEC,,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,36.1440455,-86.8088942
258,Virginia,ACC,,#232d4b,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,38.0311801,-78.5137897
259,Virginia Tech,ACC,,#630031,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,37.2199873,-80.4180643
154,Wake Forest,ACC,,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,36.1305507,-80.2545851
264,Washington,Big Ten,,#33006f,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,47.6503235,-122.3015746
265,Washington State,Pac-12,,#981e32,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,46.731831,-117.1604991
98,Western Kentucky,Conference USA,,#F32026,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,36.9847901,-86.4594041
2711,Western Michigan,Mid-American,,#532e1f,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,42.2860064,-85.6007573
277,West Virginia,Big 12,,#002855,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,39.6502744,-79.9551873
275,Wisconsin,Big Ten,,#c4012f,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,43.06994,-89.4126943
2751,Wyoming,Mountain West,,#492f24,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,41.31161,-105.5681384
